Instance    SplitMode     OrderMode    Decrescent      Exec. Time    Solution Quality %     Busy %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %
BKW11       HORIZONTALLY  PERIMETER    False            56.5656                21.781     21.781    78.219           300             205               95           68.3333           31.6667
BKW11       HORIZONTALLY  HEIGHT       True             92.7568                82.181     82.181    17.819           300             285               15           95                 5
BKW11       HORIZONTALLY  HEIGHT       False            21.3456                10.781     10.781    89.219           300             106              194           35.3333           64.6667
BKW11       HORIZONTALLY  WIDTH        True             73.6614                80.4286    80.4286   19.5714          300             253               47           84.3333           15.6667
BKW11       HORIZONTALLY  WIDTH        False            71.5485                27.2667    27.2667   72.7333          300             236               64           78.6667           21.3333
BKW11       HORIZONTALLY  NONE         True             84.6847                54.4952    54.4952   45.5048          300             267               33           89                11
BKW11       HORIZONTALLY  NONE         False            84.1186                54.4952    54.4952   45.5048          300             267               33           89                11
BKW12       HORIZONTALLY  AREA         True            222.464                 89.3767    89.3767   10.6233          500             445               55           89                11
BKW12       HORIZONTALLY  AREA         False            52.5932                 8.55       8.55     91.45            500             183              317           36.6              63.4
BKW12       HORIZONTALLY  PERIMETER    True            169.684                 91.2       91.2       8.8             500             390              110           78                22
BKW12       HORIZONTALLY  PERIMETER    False            52.9067                 8.55       8.55     91.45            500             183              317           36.6              63.4
BKW12       HORIZONTALLY  HEIGHT       True            233.676                 86.9067    86.9067   13.0933          500             462               38           92.4               7.6
BKW12       HORIZONTALLY  HEIGHT       False            50.9188                 8.55       8.55     91.45            500             183              317           36.6              63.4
BKW12       HORIZONTALLY  WIDTH        True            218.606                 74.5833    74.5833   25.4167          500             463               37           92.6               7.4
BKW12       HORIZONTALLY  WIDTH        False           185.126                 26.6167    26.6167   73.3833          500             409               91           81.8              18.2
BKW12       HORIZONTALLY  NONE         True            191.811                 34.7533    34.7533   65.2467          500             413               87           82.6              17.4
BKW12       HORIZONTALLY  NONE         False           191.795                 34.7533    34.7533   65.2467          500             413               87           82.6              17.4
BKW01       HORIZONTALLY  AREA         True              0.821737             100        100         0                10              10                0          100                 0
BKW01       HORIZONTALLY  AREA         False             0.542705              12.75      12.75     87.25             10               6                4           60                40
BKW01       HORIZONTALLY  PERIMETER    True              0.872514             100        100         0                10              10                0          100                 0
BKW01       HORIZONTALLY  PERIMETER    False             0.529373              12.75      12.75     87.25             10               6                4           60                40
BKW01       HORIZONTALLY  HEIGHT       True              0.883354             100        100         0                10              10                0          100                 0
