Instance    SplitMode     OrderMode    Decrescent      Exec. Time    Solution Quality %    Busy %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW02       VERTICALLY    PERIMETER    True              1.11408                63.4      63.4      36.6             20              15                5                75                 25
BKW02       VERTICALLY    PERIMETER    False             0.898241               29.1333   29.1333   70.8667          20              12                8                60                 40
BKW02       HORIZONTALLY  PERIMETER    True              1.01193                82.6667   82.6667   17.3333          20              13                7                65                 35
BKW02       HORIZONTALLY  PERIMETER    False             1.19621                49.3333   49.3333   50.6667          20              15                5                75                 25
BKW02       MAX_AREA      PERIMETER    True              1.35864                71.9333   71.9333   28.0667          20              17                3                85                 15
BKW02       MAX_AREA      PERIMETER    False             1.32897                60.2      60.2      39.8             20              17                3                85                 15
BKW02       NONE          PERIMETER    True              1.05909                89.8667   89.8667   10.1333          20              16                4                80                 20
BKW02       NONE          PERIMETER    False             1.013                  49.9333   49.9333   50.0667          20              16                4                80                 20
