Instance    SplitMode     OrderMode    Decrescent      Exec. Time    Solution Quality %    Busy %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %

BKW08       VERTICALLY    AREA         True               8.37686               81.7      81.7      18.3             80              66               14             82.5               17.5
BKW08       VERTICALLY    AREA         False              7.84008               47.85     47.85     52.15            80              68               12             85                 15
BKW08       HORIZONTALLY  AREA         True               8.07357               72.1875   72.1875   27.8125          80              63               17             78.75              21.25
BKW08       HORIZONTALLY  AREA         False              4.48084               16.3875   16.3875   83.6125          80              41               39             51.25              48.75
BKW08       MAX_AREA      AREA         True              10.7708                93.7875   93.7875    6.2125          80              75                5             93.75               6.25
BKW08       MAX_AREA      AREA         False              8.6462                50.55     50.55     49.45            80              72                8             90                 10
BKW08       NONE          AREA         True               8.82214              100       100         0               80              80                0            100                  0
BKW08       NONE          AREA         False              8.33417               66.725    66.725    33.275           80              76                4             95                  5
