Instance    SplitMode     OrderMode    Decrescent       Exec. Time    Solution Quality %    Occupied %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %
BKW08       NONE          ID           False           0.53027                   87.7          87.7      12.3             80              77                3           96.25              3.75
BKW09       VERTICALLY    ID           True            0.000724459               42.76         42.76     57.24           100              88               12           88                12
BKW09       VERTICALLY    ID           False           0.00060277                35.3467       35.3467   64.6533         100              82               18           82                18
BKW09       HORIZONTALLY  ID           True            0.0012692                 57.12         57.12     42.88           100              90               10           90                10
BKW09       HORIZONTALLY  ID           False           0.00102706                54.92         54.92     45.08           100              83               17           83                17
BKW09       MAX_AREA      ID           True            0.00195937                63.9867       63.9867   36.0133         100              94                6           94                 6
BKW09       MAX_AREA      ID           False           0.00202889                78.2          78.2      21.8            100              94                6           94                 6
BKW09       NONE          ID           True            1.31657                   72.5733       72.5733   27.4267         100              97                3           97                 3
BKW09       NONE          ID           False           1.1922                    83.1733       83.1733   16.8267         100              97                3           97                 3
BKW10       VERTICALLY    ID           True            0.0011745                 37.2762       37.2762   62.7238         200             175               25           87.5              12.5
BKW10       VERTICALLY    ID           False           0.00105424                41.6286       41.6286   58.3714         200             171               29           85.5              14.5
BKW10       HORIZONTALLY  ID           True            0.0023602                 40.4095       40.4095   59.5905         200             187               13           93.5               6.5
BKW10       HORIZONTALLY  ID           False           0.0023149                 75.4952       75.4952   24.5048         200             190               10           95                 5
BKW10       MAX_AREA      ID           True            0.00365686                58.6286       58.6286   41.3714         200             197                3           98.5               1.5
BKW10       MAX_AREA      ID           False           0.00459342                83.0667       83.0667   16.9333         200             192                8           96                 4
BKW10       NONE          ID           True           12.5739                    58.6286       58.6286   41.3714         200             197                3           98.5               1.5
BKW10       NONE          ID           False          11.3025                    76.2476       76.2476   23.7524         200             197                3           98.5               1.5
BKW11       VERTICALLY    ID           True            0.00183802                46.3905       46.3905   53.6095         300             265               35           88.3333           11.6667
BKW11       VERTICALLY    ID           False           0.00204906                39.2          39.2      60.8            300             253               47           84.3333           15.6667
BKW11       HORIZONTALLY  ID           True            0.00503669                52.4571       52.4571   47.5429         300             268               32           89.3333           10.6667
BKW11       HORIZONTALLY  ID           False           0.00489888                54.4952       54.4952   45.5048         300             267               33           89                11
BKW11       MAX_AREA      ID           True            0.00838408                80.5143       80.5143   19.4857         300             293                7           97.6667            2.33333
BKW11       MAX_AREA      ID           False           0.00733356                80.2762       80.2762   19.7238         300             292                8           97.3333            2.66667
BKW11       NONE          ID           True           47.3145                    80.5143       80.5143   19.4857         300             293                7           97.6667            2.33333
BKW11       NONE          ID           False          35.6367                    87.1524       87.1524   12.8476         300             296                4           98.6667            1.33333
BKW12       VERTICALLY    ID           True            0.00534678                59.3267       59.3267   40.6733         500             458               42           91.6               8.4
BKW12       VERTICALLY    ID           False           0.00434718                49.83         49.83     50.17           500             458               42           91.6               8.4
BKW12       HORIZONTALLY  ID           True            0.012956                  45.3133       45.3133   54.6867         500             449               51           89.8              10.2
BKW12       HORIZONTALLY  ID           False           0.013055                  34.7533       34.7533   65.2467         500             413               87           82.6              17.4
BKW12       MAX_AREA      ID           True            0.0253316                 84.9233       84.9233   15.0767         500             493                7           98.6               1.4
BKW12       MAX_AREA      ID           False           0.0257654                 75.5567       75.5567   24.4433         500             489               11           97.8               2.2
BKW12       NONE          ID           True          259.161                     89.8933       89.8933   10.1067         500             494                6           98.8               1.2
BKW12       NONE          ID           False         277.111                     82.3267       82.3267   17.6733         500             493                7           98.6               1.4
